Location,Average Salary
Pickering,189280.0
Quebec,143250.0
Aurora,135200.0
Ontario,129500.0
Surrey,127626.66666666667
Oakville,113000.0
Newmarket,110500.0
Richmond Hill,108500.0
North York,104520.0
Brossard,100880.0
Mississauga,100333.33333333333
Brampton,100000.0
Woodbridge,99840.0
Remote,98665.26315789473
Waterloo,98200.0
Richmond,98000.0
Kingston,97500.0
Dartmouth,96500.0
Chilliwack,95000.0
Edmonton,92850.0
Calgary,91200.0
Toronto,90784.61538461539
Abbotsford,90000.0
Markham,89750.0
Scarborough,89500.0
Montreal,87893.33333333333
Victoria,87750.0
Concord,87500.0
Vancouver,87117.5
Kanata,84270.0
Saskatoon,82500.0
Saint-Jérôme,77500.0
Alberta,75000.0
Ottawa,73152.0
Winnipeg,72500.0
Burlington,67550.0
Cambridge,67333.33333333333
Langford,66000.0
British Columbia,65000.0
Kitchener,60800.0
North Vancouver,58000.0
Burnaby,57500.0
Stoney Creek,45760.0
Sherwood Park,39520.0
