Job,Company,Location,Salary
Software Developer - AI Trainer (Contract),DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
Product Developer - AI Trainer,DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
Mobile App Developer - AI Trainer,DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
Systems Developer - AI Trainer,DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
DevOps Engineer- AI Trainer,DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
Cloud Engineer - AI Trainer,DataAnnotation,Remote,$57.07 Per hour (Employer Est.)
CAM Programmer,Hi-Kalibre Equipment Ltd.,Edmonton,$40.00 Per hour (Employer Est.)
Software Developer,Triton Canada Inc.,North York,$70K - $120K (Glassdoor Est.)
Bi-lingual (English-Spanish) Full Stack Developer,Solutions 2 GO,Brampton,$68K - $85K (Glassdoor Est.)
Assistant Product Developer - Summer Student / Coop,TMF Foods - Lou's Kitchen,Stoney Creek,$22.00 Per hour (Employer Est.)
Senior Product Engineering Developer - Cybersecurity,Intact,Mississauga,$89K - $128K (Employer Est.)
Software Developer (Computer Vision),LMI Technologies,Vancouver,$90K - $115K (Glassdoor Est.)
"eReader Team Lead, Software Engineering",Rakuten Kobo,Toronto,$70K - $100K (Employer Est.)
Senior Magento Developer,MDT Sporting Goods Ltd.,Chilliwack,$95K (Employer Est.)
UI Developer / Front End Software Engineer,Citi,Toronto,$50.95 - $55.18 Per hour (Employer Est.)
"Chef d’équipe, développement de logiciels Mobile / Lead Software Developer, Mobile",Automotive Data Solutions,Montreal,$116K - $137K (Glassdoor Est.)
Developer - Senior,Insurance Corporation of British Columbia,North Vancouver,$46K - $70K (Glassdoor Est.)
Software Developer (Entry Level),Konrad,Toronto,$71K - $76K (Glassdoor Est.)
Backend Developer,Delco Automation Inc.,Saskatoon,$75K - $90K (Employer Est.)
Automotive Embedded Test Automation Developer,Syntronic,Kanata,$77K - $95K (Glassdoor Est.)
